epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,44.5264,1.43324,1.56157,1.00213,1.26559,0.00648,0.5,0.04866,0.00574,0.00216,0.16667,0.0017,0.00017,3.63366,9.65582,3.49308,3.68667,0.00129352,0.00129352,0.00129352
32,45.7502,1.25306,1.39383,0.87455,1.12613,0.00483,0.16667,0.01471,0.00266,0.00483,0.16667,0.00392,0.00078,4.16875,10.3344,3.76605,4.93826,0.00131689,0.00131689,0.00131689
33,46.9355,1.37716,1.34636,0.93356,1.17575,0.00483,0.16667,0.01471,0.00266,0.00483,0.16667,0.00392,0.00078,4.16875,10.3344,3.76605,4.93826,0.00133907,0.00133907,0.00133907
34,48.1442,1.20329,1.40523,0.91555,1.16511,0.0098,0.16667,0.0058,0.00116,0.0098,0.16667,0.0058,0.00058,4.61968,84.3698,4.58666,6.22619,0.0013466,0.0013466,0.0013466
35,49.3678,1.17186,1.36086,0.88684,1.12431,0.0098,0.16667,0.0058,0.00116,0.0098,0.16667,0.0058,0.00058,4.78123,244.956,4.5188,6.6102,0.0013268,0.0013268,0.0013268
36,50.5703,1.33906,1.44001,0.87927,1.15628,0.00483,0.33333,0.17833,0.10207,0.00242,0.16667,0.16601,0.0366,3.32937,91.5044,3.11678,4.76991,0.001307,0.001307,0.001307
37,51.7544,1.25857,1.33791,0.86673,1.18157,0.00483,0.33333,0.17833,0.10207,0.00242,0.16667,0.16601,0.0366,3.32937,91.5044,3.11678,4.76991,0.0012872,0.0012872,0.0012872
38,52.9733,1.30506,1.2826,0.8697,1.23448,0.46912,0.33333,0.25074,0.0868,0.62168,0.33333,0.33574,0.13508,3.29994,26.0114,2.2801,3.64098,0.0012674,0.0012674,0.0012674
39,54.182,1.30307,1.54173,0.80844,1.10931,0.61737,0.33333,0.32441,0.10146,0.95754,0.33333,0.33599,0.17731,2.72923,5.98181,2.09505,2.60825,0.0012476,0.0012476,0.0012476
40,55.392,1.24851,1.43476,0.808,1.08877,0.79592,0.65306,0.68652,0.18923,0.89384,0.33333,0.39439,0.22061,2.40174,5.4468,1.93205,2.11875,0.0012278,0.0012278,0.0012278
41,56.5763,1.30875,1.37576,0.83781,1.21493,0.79592,0.65306,0.68652,0.18923,0.89384,0.33333,0.39439,0.22061,2.40174,5.4468,1.93205,2.11875,0.001208,0.001208,0.001208
42,57.7974,1.16556,1.40138,0.77756,1.03518,0.70407,0.79758,0.75791,0.25538,0.55674,0.63239,0.52928,0.27697,2.37176,4.84869,1.55324,2.03707,0.0011882,0.0011882,0.0011882
43,58.9948,1.10946,1.52047,0.80321,1.11822,0.53094,0.83333,0.74789,0.26728,0.53094,0.83333,0.74789,0.22996,2.23234,3.13197,1.30824,2.10255,0.0011684,0.0011684,0.0011684
44,60.2214,1.20458,1.52792,0.78693,1.0739,0.45896,0.84951,0.76659,0.2801,0.45896,0.84951,0.76659,0.29409,2.08533,2.85566,1.4163,2.10123,0.0011486,0.0011486,0.0011486
45,61.4327,1.11896,1.30701,0.79498,1.10677,0.45896,0.84951,0.76659,0.2801,0.45896,0.84951,0.76659,0.29409,2.08533,2.85566,1.4163,2.10123,0.0011288,0.0011288,0.0011288
46,62.6341,1.12724,1.61662,0.78749,1.09424,0.75386,0.66667,0.76161,0.29622,0.55846,0.5,0.49396,0.28497,2.10499,3.11975,1.51022,1.93775,0.001109,0.001109,0.001109
47,63.8396,1.20334,1.47106,0.83399,1.07854,0.86563,0.66667,0.863,0.33317,0.86563,0.66667,0.76024,0.30711,2.3525,3.09969,1.27278,1.91258,0.0010892,0.0010892,0.0010892
48,65.0479,1.18553,1.30907,0.81425,1.1412,0.81303,1,0.94786,0.36522,0.81303,1,0.94786,0.41059,2.0793,2.09293,1.1382,1.74817,0.0010694,0.0010694,0.0010694
49,66.4235,1.18895,1.41709,0.73791,1.11309,0.81303,1,0.94786,0.36522,0.81303,1,0.94786,0.41059,2.0793,2.09293,1.1382,1.74817,0.0010496,0.0010496,0.0010496
50,67.8008,1.09196,1.29983,0.72825,1.04378,0.73423,1,0.87167,0.35849,0.73423,1,0.87167,0.37829,2.02795,2.10963,1.10613,1.79097,0.0010298,0.0010298,0.0010298
51,68.9693,1.11582,1.30378,0.764,1.0549,0.85149,0.96041,0.90071,0.29963,0.85149,0.96041,0.90071,0.37295,2.17368,2.21827,1.27911,1.93604,0.00101,0.00101,0.00101
52,70.1928,1.09059,1.13971,0.73514,1.11583,0.96868,1,0.995,0.31303,0.96868,1,0.995,0.44357,2.31512,2.20713,1.08899,2.10954,0.0009902,0.0009902,0.0009902
53,71.3735,1.10295,1.38198,0.73041,1.08183,0.96868,1,0.995,0.31303,0.96868,1,0.995,0.44357,2.31512,2.20713,1.08899,2.10954,0.0009704,0.0009704,0.0009704
54,72.5703,1.01084,1.35205,0.68366,1.04547,0.98098,1,0.995,0.28581,0.98098,1,0.995,0.45425,2.32752,2.15547,1.13544,2.23126,0.0009506,0.0009506,0.0009506
55,73.7731,0.95267,1.3019,0.68969,1.00449,0.83833,1,0.97214,0.27415,0.83833,1,0.97214,0.31122,2.43898,2.60982,1.02344,2.27483,0.0009308,0.0009308,0.0009308
56,74.9528,1.02231,1.11676,0.75189,1.02268,1,0.96626,0.995,0.26423,0.64033,0.66667,0.44785,0.19201,2.486,3.34212,1.05096,2.1668,0.000911,0.000911,0.000911
57,76.1231,1.13105,1.67415,0.79816,1.07581,1,0.96626,0.995,0.26423,0.64033,0.66667,0.44785,0.19201,2.486,3.34212,1.05096,2.1668,0.0008912,0.0008912,0.0008912
58,77.3165,1.06044,1.28188,0.73072,1.05802,0.95906,1,0.995,0.28757,0.95906,1,0.995,0.29556,2.4899,3.18833,1.01475,2.18232,0.0008714,0.0008714,0.0008714
59,78.5072,0.98955,1.21191,0.67908,1.00893,1,0.78238,0.955,0.26152,1,0.78238,0.955,0.29117,2.67311,2.69227,1.06268,2.3489,0.0008516,0.0008516,0.0008516
60,79.7026,1.18102,1.23632,0.72422,1.11979,0.95968,1,0.995,0.34802,0.95968,1,0.995,0.26867,2.40583,2.69577,1.04911,2.07147,0.0008318,0.0008318,0.0008318
61,80.8822,1.05204,1.37643,0.75124,1.10907,0.95968,1,0.995,0.34802,0.95968,1,0.995,0.26867,2.40583,2.69577,1.04911,2.07147,0.000812,0.000812,0.000812
62,82.1122,1.01281,1.26392,0.7146,1.06628,0.88984,1,0.995,0.36163,0.88984,1,0.995,0.26365,2.26353,2.98968,0.94053,2.03377,0.0007922,0.0007922,0.0007922
63,83.3238,1.08419,1.2388,0.68136,1.08937,0.93183,1,0.995,0.33788,0.93183,1,0.995,0.23019,2.32487,3.01051,0.84869,2.05538,0.0007724,0.0007724,0.0007724
